05-04-2023 23:00:47.861 [main] INFO  com.bank.management.ElkApplication.logStarting - Starting ElkApplication using Java 1.8.0_321 on Shradhas-MacBook-Pro.local with PID 19797 (/Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK/target/classes started by shradhayewale in /Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK)
05-04-2023 23:00:47.866 [main] INFO  com.bank.management.ElkApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
05-04-2023 23:00:50.721 [main] INFO  com.bank.management.ElkApplication.logStarted - Started ElkApplication in 3.432 seconds (JVM running for 4.275)
05-04-2023 23:01:11.671 [http-nio-8080-exec-2] INFO  c.b.management.services.UserService.getAllCards - Fetching ALL card details...
05-04-2023 23:02:13.428 [main] INFO  com.bank.management.ElkApplication.logStarting - Starting ElkApplication using Java 1.8.0_321 on Shradhas-MacBook-Pro.local with PID 19840 (/Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK/target/classes started by shradhayewale in /Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK)
05-04-2023 23:02:13.432 [main] INFO  com.bank.management.ElkApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
05-04-2023 23:02:15.629 [main] INFO  com.bank.management.ElkApplication.logStarted - Started ElkApplication in 2.839 seconds (JVM running for 3.656)
05-04-2023 23:02:20.064 [http-nio-8080-exec-2] INFO  c.b.management.services.UserService.getAllCards - Fetching ALL card details...
05-04-2023 23:26:07.294 [main] INFO  com.bank.management.ElkApplication.logStarting - Starting ElkApplication using Java 1.8.0_321 on Shradhas-MacBook-Pro.local with PID 20194 (/Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK/target/classes started by shradhayewale in /Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK)
05-04-2023 23:26:07.297 [main] INFO  com.bank.management.ElkApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
05-04-2023 23:26:09.428 [main] INFO  com.bank.management.ElkApplication.logStarted - Started ElkApplication in 2.772 seconds (JVM running for 3.614)
05-04-2023 23:26:14.826 [http-nio-8080-exec-2] INFO  c.b.m.controller.CardController.getAllCards - Inside getAllCards Controller
05-04-2023 23:26:14.828 [http-nio-8080-exec-2] INFO  c.b.management.services.UserService.getAllCards - Fetching ALL card details...
05-04-2023 23:26:14.832 [http-nio-8080-exec-2] INFO  c.b.management.services.UserService.getAllCards - Get all cards details response:
05-04-2023 23:27:47.651 [main] INFO  com.bank.management.ElkApplication.logStarting - Starting ElkApplication using Java 1.8.0_321 on Shradhas-MacBook-Pro.local with PID 20224 (/Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK/target/classes started by shradhayewale in /Users/shradhayewale/295B/Final/latest_4APR/Anomaly-Detection/log-collector-application/Bank-Management-Spring-ELK)
05-04-2023 23:27:47.655 [main] INFO  com.bank.management.ElkApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
